Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas
LL-N,Estacion,N,01/09/22,3,A,1,priach,priach,,0002,3.5,Y,Y,N,1,,
LL-N,Estacion,N,01/09/22,3,A,2,priach,priach,,0002,3.6,Y,Y,N,2,,
LL-N,Estacion,N,01/09/22,4,A,3,priach,priach,,0002,3.4,Y,Y,N,3,,
LL-N,Estacion,N,01/09/22,4,C,4,priach,priach,,0002,2.3,Y,Y,N,4,,
LL-N,Estacion,N,01/09/22,4,D,5,priach,priach,,0022,3.9,Y,Y,N,5,,"lost dedo, so cut 0022, escapó uno del 4D"
LL-C,Estacion,C,01/09/22,1,A,6,priach,priach,,0003,4.2,Y,Y,N,6,,
LL-C,Estacion,C,01/09/22,1,C,7,priach,priach,,0003,4.0,Y,Y,N,7,,
LL-C,Estacion,C,01/09/22,1,D,8,priach,priach,,0003,3.5,Y,Y,N,8,,
LL-C,Estacion,C,01/09/22,2,A,9,priach,priach,,0003,0.9,Y,Y,N,9,,
LL-C,Estacion,C,01/09/22,2,D,10,priach,priach,,0003,2.8,Y,Y,N,10,,
LL-C,Estacion,C,01/09/22,2,D,11,priach,priach,,0003,3.2,Y,Y,N,11,,
LL-C,Estacion,C,01/09/22,3,B,12,priach,priach,,0003,2.8,Y,Y,N,12,,
LL-C,Estacion,C,01/09/22,3,B,13,priach,priach,,0003,3.3,Y,Y,N,13,,
LL-C,Estacion,C,01/09/22,3,C,14,priach,priach,,0003,2.2,Y,Y,N,14,,
LL-C,Estacion,C,01/09/22,3,D,15,priach,priach,,0003,2.3,Y,Y,N,15,,
LL-C,Estacion,C,01/09/22,4,A,16,priach,priach,,0003,3.9,Y,Y,N,16,,
LL-C,Estacion,C,01/09/22,4,C,17,priach,priach,,0003,3.2,Y,Y,N,17,,
JZ-C,Estacion,C,02/09/22,1,B,18,priach,priach,,0505,2.9,Y,Y,N,18,,"lost dedo, so recut to get genetic sample"
JZ-C,Estacion,C,02/09/22,1,D,19,priach,priach,,0005,3.0,Y,Y,N,19,,
JZ-C,Estacion,C,02/09/22,1,D,20,priach,priach,,0005,2.4,Y,Y,N,20,,
JZ-C,Estacion,C,02/09/22,2,B,21,priach,priach,,0005,3.9,Y,Y,N,21,,
JZ-C,Estacion,C,02/09/22,2,D,22,priach,priach,,0005,2.6,Y,Y,N,22,,
JZ-N,Estacion,N,02/09/22,1,D,23,priach,priach,,0020,3.2,Y,Y,N,23,,
LL-C,Estacion,C,03/09/22,1,A,24,priach,priach,,0033,1.1,Y,Y,N,24,,"lost dedo, so cut two"
LL-C,Estacion,C,03/09/22,1,A,25,priach,priach,,0003,2.9,Y,Y,N,25,,
LL-C,Estacion,C,03/09/22,2,B,R1,priach,priach,,0003,NA,N,N,Y,R1,,
LL-C,Estacion,C,03/09/22,2,D,26,priach,priach,,0003,2.8,Y,Y,N,26,,escapó uno de 3B
LL-C,Estacion,C,03/09/22,3,C,R2,priach,priach,,0003,NA,N,N,Y,R2,,
LL-C,Estacion,C,03/09/22,3,A,27,priach,priach,,0003,2.8,Y,Y,N,27,,
LL-C,Estacion,C,03/09/22,3,C,28,priach,priach,,0003,2.2,Y,Y,N,28,,
LL-C,Estacion,C,03/09/22,4,C,29,priach,priach,,0003,2.1,Y,Y,N,29,,
