Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
AL-N,N,1,78.75,53.75,1,51.8125,0.35101496840517377,0.319,264,75-95,50-75,50-75,1.8729356481374038,-0.1557621962571527,-0.6009538137955563,-0.6820752598428972,0.6359846127651714,1,1
AL-N,N,2,36.875,61.25,1,74.4375,0.21328379219773852,0.319,264,25-50,50-75,50-75,0.01615657354376688,0.11913790046099271,0.34569267903913076,-0.6820752598428972,0.6359846127651714,1,1
AL-N,N,3,54.375,78.75,1,43.125,0.41216535183428266,0.319,264,50-75,75-95,25-50,0.7921239480008092,0.7605714594699987,-0.9644451466795937,-0.6820752598428972,0.6359846127651714,1,1
AL-N,N,4,88.125,24.375,1,61.125,0.265407845937139,0.319,264,75-95,10-25,50-75,2.2886324558822477,-1.2324542417365556,-0.2113120253083509,-0.6820752598428972,0.6359846127651714,1,1
AZ-C,C,1,18.75,6.25,4,27.4375,0.25989414324502547,0.399,196,10-25,5-10,25-50,-0.7875239214295984,-1.8967961421387405,-1.6208215823191143,-0.31988636434449097,0,3,3
AZ-C,C,2,5,8.75,4,4.5,0.5462178223612084,0.399,196,5-10,5-10,1-5,-1.397212572788703,-1.8051627765660252,-2.5805433029553857,-0.31988636434449097,0,NA,NA
AZ-C,C,3,2.5,16.25,4,8.5,0.7800127168986701,0.399,196,1-5,10-25,5-10,-1.508065054853995,-1.5302626798478798,-2.4131803870951094,-0.31988636434449097,0,NA,NA
AZ-C,C,4,1.25,13.75,4,19.375,1.2205433133986139,0.399,196,1-5,10-25,10-25,-1.5634912958866407,-1.621896045420595,-1.9581624595999836,-0.31988636434449097,0,1,1
AZ-N,N,1,25,66.25,4,80.4375,0.12171248639249743,0.351,174,25-50,50-75,75-95,-0.510392716266369,0.302404631606423,0.596737052829545,-0.5371997016435349,-0.20575972765932013,1,1
AZ-N,N,2,12.5,73.75,4,84.5,0.08195497686120999,0.351,174,10-25,50-75,75-95,-1.0646551265928277,0.5773047283245685,0.7667150142501381,-0.5371997016435349,-0.20575972765932013,1,1
AZ-N,N,3,13.75,75,4,82.0625,0.047416244984838936,0.351,174,10-25,75-95,75-95,-1.0092288855601819,0.623121411110926,0.6647282373977822,-0.5371997016435349,-0.20575972765932013,1,1
AZ-N,N,4,8.75,73.75,4,83.5,0.03465819431973122,0.351,174,5-10,50-75,75-95,-1.2309338496907654,0.5773047283245685,0.724874285285069,-0.5371997016435349,-0.20575972765932013,NA,NA
