Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
DG-B,B,2,65.625,77.5,6,93.875,0.007045942239852439,0.716,178,50-75,75-95,75-95,1.2909601172946221,0.7147547766836412,1.1589718482976603,1.1152871340679436,-0.1683488680848983,3,9
DG-B,B,3,66.25,83.125,6,93.9375,0.003992015968063872,0.716,178,50-75,75-95,75-95,1.318673237810945,0.9209298492222502,1.1615868938579772,1.1152871340679436,-0.1683488680848983,2,7
DG-B,B,4,51.25,78.75,6,93.625,0.013171916855317082,0.716,178,50-75,75-95,75-95,0.6535583454191944,0.7605714594699987,1.148511666056393,1.1152871340679436,-0.1683488680848983,6,19
DG-C,C,1,43.75,15.625,6,79.1875,0.18186031038732434,0.562,159,25-50,10-25,75-95,0.3210008992233192,-1.5531710212410585,0.5444361416232087,0.41807351023351186,-0.34605045106340204,2,42
DG-C,C,2,48.125,31.25,6,67.5,0.1632152928631904,0.562,159,25-50,25-50,50-75,0.5149927428375798,-0.980462486411589,0.055422621843964265,0.41807351023351186,-0.34605045106340204,2,49
DG-C,C,3,51.875,27.5,6,54.625,0.2385869319448063,0.562,159,50-75,25-50,50-75,0.6812714659355175,-1.1179125347706618,-0.4832767635812997,0.41807351023351186,-0.34605045106340204,2,44
DG-C,C,4,43.125,15,6,43,1.0840282194010933,0.562,159,25-50,10-25,25-50,0.2932877787069963,-1.5760793626342375,-0.9696752378002274,0.41807351023351186,-0.34605045106340204,2,41
DG-N,N,1,10.625,94.375,6,89.75,0.04503010456075076,0.598,13,10-25,75-95,75-95,-1.1477944881417965,1.3332799942994684,0.9863788413167506,0.5810585132077943,-1.7115468255297994,2,29
DG-N,N,2,10.625,84.375,6,90.375,0.04030888519021557,0.598,13,10-25,75-95,75-95,-1.1477944881417965,0.9667465320086078,1.0125292969199187,0.5810585132077943,-1.7115468255297994,2,31
DG-N,N,3,11.875,76.25,6,74.75,0.17047016638628304,0.598,13,10-25,75-95,50-75,-1.0923682471091507,0.6689380938972835,0.35876790684071486,0.5810585132077943,-1.7115468255297994,1,36
DG-N,N,4,30,74.375,6,75.1875,0.07367128623782034,0.598,13,25-50,50-75,75-95,-0.28868775213578546,0.6002130697177472,0.37707322576293256,0.5810585132077943,-1.7115468255297994,2,28
DG-V,V,1,45.625,83.75,5,84.8125,0.018070817153278823,0.502,353,25-50,75-95,75-95,0.40414026077228804,0.943838190615429,0.7797902420517221,0.14643183860970696,1.4683762382960575,3,18
DG-V,V,2,33.75,83.75,5,87.8125,0.008501291989166746,0.502,353,25-50,75-95,75-95,-0.12240902903784782,0.943838190615429,0.9053124289469293,0.14643183860970696,1.4683762382960575,2,22
DG-V,V,3,35.625,73.125,5,83.9375,0.03319954848787484,0.502,353,25-50,50-75,75-95,-0.039269667488879,0.5543963869313896,0.7431796042072867,0.14643183860970696,1.4683762382960575,4,30
