Sitio,n,Tipo,Elevation,Pair,harvested
AL-N,4,N,542,1,Yes
AZ-C,4,C,356,4,Yes
AZ-N,3,N,351,4,Yes
DB-C,51,C,365,15,Yes
DB-N,45,N,377,15,Yes
DG-B,20,B,535,6,No
DG-C,6,C,559,6,Yes
DG-N,3,N,504,6,Yes
DG-V,15,V,546,5,No
FCAT-B1,15,B,470,13,No
FCAT-B2,18,B,500,9,No
FCAT-B3,8,B,420,12,No
FCAT-V1,16,V,489,13,No
FCAT-V2,5,V,490,9,No
FLL-B,12,B,350,14,No
FLL-C,23,C,360,14,Yes
FLL-V,41,V,356,14,No
GP-C,6,C,338,11,Yes
GP-N,5,N,355,11,Yes
JS-N,46,N,342,14,Yes
JZ-C,8,C,513,8,Yes
JZ-N,7,N,515,8,Yes
JZJ-C,5,C,520,1,Yes
LG-C,13,C,410,3,Yes
LG-N,18,N,416,3,Yes
LL-C,3,C,482,7,Yes
LL-N,3,N,504,7,Yes
PM-C,15,C,428,2,Yes
PM-N,9,N,449,2,Yes
PV-N,9,N,347,10,Yes
VC-C,2,C,375,10,Yes
VC-N,4,N,333,10,Yes
