Sitio,year,num_ind,species,no_species,Tipo,Fecha,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,sample_date,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled
JS-N,2022,19,,4,N,03/10/22,1,12.5,97.5,14,83.5625,0.06731488406881077,0.325,125,10-25,95-100,75-95,-0.5608358280215459,1.7591923993059093,1.2688374338902844,-0.4143850983017437,-0.7223019318301992,2022-10-03,4.375,92.8125,83.078125,-0.8985838873650948,1.7930565280582145,1.4112440005128497
JS-N,2023,51,,7,N,08/02/23,1,8.75,65,14,83.5625,0.06731488406881077,0.325,125,5-10,50-75,75-95,-0.6723972937488005,0.6036254698991662,1.2688374338902844,-0.4143850983017437,-0.7223019318301992,2023-02-08,8.125,69.0625,83.078125,-0.7736732355365462,0.8422693252737111,1.4112440005128497
JZ-C,2022,28,,3,C,02/09/22,1,11.25,12.5,8,66.1875,0.2743637396669292,0.533,57,10-25,10-25,50-75,-0.5980229832639641,-1.2630595699117264,0.4352868842641656,1.5795436186580127,-1.3509021005433919,2022-09-02,21.979166666666664,7.395833333333334,45.703125,-0.3121977718366309,-1.6264413065176309,-0.6202327300714139
JZ-C,2023,27,,5,C,10/01/23,1,22.5,18.75,8,66.1875,0.2743637396669292,0.533,57,10-25,10-25,50-75,-0.2633385860822002,-1.0408351604104296,0.4352868842641656,1.5795436186580127,-1.3509021005433919,2023-01-10,39.375,16.25,45.703125,0.26724886303469153,-1.2719811651286712,-0.6202327300714139
JZ-N,2022,11,,2,N,02/09/22,1,68.75,28.75,8,81.9375,0.11086268374690565,0.556,68,50-75,25-50,75-95,1.1125861578872738,-0.6852761052083548,1.190879468817338,1.8000261210141397,-1.2492167791339048,2022-09-02,65.20833333333333,58.229166666666664,72.328125,1.127744464520248,0.4085769169860428,0.8269396565989812
JZ-N,2023,24,,4,N,10/01/23,1,35,57.5,8,81.9375,0.11086268374690565,0.556,68,25-50,50-75,75-95,0.10853296634198195,0.33695617849761017,1.190879468817338,1.8000261210141397,-1.2492167791339048,2023-01-10,71.5625,40.9375,72.328125,1.3393986245630665,-0.28366288855004285,0.8269396565989812
JZJ-C,2022,85,,1,C,09/09/22,1,0,5,1,25,0.6042626360559896,0.333,278,0,5-10,25-50,-0.9327073804457281,-1.5297288613132825,-1.540647692007821,-0.33769553226482996,0.6920484477744843,2022-09-09,5.625,9.6875,24.828125,-0.8569470034222453,-1.5346986816875472,-1.7548702351134606
JZJ-C,2023,14,,4,C,17/01/23,1,53.75,8.75,1,25,0.6042626360559896,0.333,278,50-75,5-10,25-50,0.6663402949782552,-1.3963942156125044,-1.540647692007821,-0.33769553226482996,0.6920484477744843,2023-01-17,75.3125,31.875,24.828125,1.4643092763916148,-0.6464632685599191,-1.7548702351134606
LG-C,2022,30,,3,C,15/11/22,1,0,86.25,3,45.25,0.45162155398200676,0.392,405,0,75-95,25-50,-0.9327073804457281,1.3591884622035753,-0.5691715118680278,0.22789001725740857,1.866051704047653,2022-11-15,0.625,70.625,39.703125,-1.0234945391936432,0.9048211149305863,-0.9463560848140381
LG-C,2023,23,,7,C,04/03/23,1,77.5,21.25,3,45.25,0.45162155398200676,0.392,405,75-95,10-25,25-50,1.3728962445842012,-0.951945396609911,-0.5691715118680278,0.22789001725740857,1.866051704047653,2023-03-04,94.375,13.75,39.703125,2.09927175652007,-1.3720640285796717,-0.9463560848140381
LG-N,2022,64,,5,N,15/11/22,1,1.25,77.5,3,51.25,0.40083197237412954,0.322,317,1-5,75-95,50-75,-0.8955202252033099,1.0480742889017598,-0.2813267177525336,-0.44314368556558636,1.0525691327717566,2022-11-15,1.5625,60.3125,51.84375,-0.9922668762365061,0.4919793031952098,-0.28646585920200934
LG-N,2023,18,,5,N,04/03/23,1,100,12.5,3,51.25,0.40083197237412954,0.322,317,95-100,10-25,50-75,2.042265038947729,-1.2630595699117264,-0.2813267177525336,-0.44314368556558636,1.0525691327717566,2023-03-04,100,13.4375,51.84375,2.2866377342628925,-1.3845743865110467,-0.28646585920200934
LL-C,2022,33,,1,C,01/09/22,1,0,57.5,7,61.375,0.641919525097984,0.233,268,0,50-75,50-75,-0.9327073804457281,0.33695617849761017,0.20441137231736295,-1.2963151077262514,0.5996072464931324,2022-09-01,1.5625,46.5625,41.484375,-0.9922668762365061,-0.05847644578529207,-0.8495382138748215
LL-C,2023,25,,3,C,23/01/23,1,2.5,35,7,61.375,0.641919525097984,0.233,268,1-5,25-50,50-75,-0.8583330699608916,-0.4630516957070581,0.20441137231736295,-1.2963151077262514,0.5996072464931324,2023-01-23,18.125,40.9375,41.484375,-0.44057816399375016,-0.28366288855004285,-0.8495382138748215
LL-N,2022,37,,2,N,01/09/22,1,68.75,21.25,7,57.25,0.4596437212826327,0.231,298,50-75,10-25,50-75,1.1125861578872738,-0.951945396609911,0.00651807636296064,-1.3154874992354797,0.876930850337188,2022-09-01,24.479166666666664,43.229166666666664,58.59375,-0.22892400395093188,-0.1919202637199593,0.08042291488344291
LL-N,2023,34,,2,N,23/01/23,1,5,32.5,7,57.25,0.4596437212826327,0.231,298,5-10,25-50,50-75,-0.7839587594760552,-0.5519414595075768,0.00651807636296064,-1.3154874992354797,0.876930850337188,2023-01-23,28.4375,32.5,58.59375,-0.0970738714652417,-0.6214425526971691,0.08042291488344291
PM-C,2022,54,,4,C,22/11/22,1,5,10,2,41.625,0.5754597959889314,0.306,254,5-10,10-25,25-50,-0.7839587594760552,-1.351949333712245,-0.7430777416461389,-0.596522817639414,0.4701895646992398,2022-11-22,1.875,18.4375,41.859375,-0.9818576552507937,-1.184408659609046,-0.8291555042034074
PM-C,2023,27,,6,C,05/03/23,1,1.25,41.25,2,41.625,0.5754597959889314,0.306,254,1-5,25-50,25-50,-0.8955202252033099,-0.24082728620576135,-0.7430777416461389,-0.596522817639414,0.4701895646992398,2023-03-05,7.8125,41.5625,41.859375,-0.7840824565222586,-0.2586421726872928,-0.8291555042034074
PM-N,2022,39,,3,N,22/11/22,1,0,30,2,43.5,0.3117253246510487,0.298,289,0,25-50,25-50,-0.9327073804457281,-0.6408312233080955,-0.653126243485047,-0.6732123836763277,0.7937337691839713,2022-11-22,5.625,44.0625,61.0625,-0.8569470034222453,-0.1585593092362924,0.21460908688691852
PM-N,2023,22,,4,N,05/03/23,1,8.75,26.25,2,43.5,0.3117253246510487,0.298,289,5-10,25-50,25-50,-0.6723972937488005,-0.7741658690088735,-0.653126243485047,-0.6732123836763277,0.7937337691839713,2023-03-05,14.0625,50.3125,61.0625,-0.575898036808011,0.09164784939120846,0.21460908688691852
PV-N,2022,48,,4,N,02/12/22,1,21.25,53.75,10,68,0.34480512022627513,0.323,122,10-25,50-75,50-75,-0.3005257413246184,0.20362153279683212,0.5222399991532212,-0.43355748981097214,-0.7500342922146047,2022-12-02,9.479166666666666,69.375,70.546875,-0.728566611265126,0.8547796832050861,0.7301217856597646
PV-N,2023,39,,4,N,11/03/23,1,40,93.75,10,68,0.34480512022627513,0.323,122,25-50,75-95,50-75,0.2572815873116548,1.6258577536051313,0.5222399991532212,-0.43355748981097214,-0.7500342922146047,2023-03-11,28.125,85,70.546875,-0.10748309245095408,1.4802975797738382,0.7301217856597646
VC-C,2022,3,,2,C,02/12/22,1,0,15,10,25,1.0298543586352393,0.317,150,0,10-25,25-50,-0.9327073804457281,-1.1741698061112076,-1.540647692007821,-0.4910746643386575,-0.4911989286268196,2022-12-02,2.1875,23.125,29.96875,-0.9714484342650814,-0.9967532906384203,-1.4754572567011601
VC-C,2023,3,,2,C,11/03/23,1,1.25,13.75,10,25,1.0298543586352393,0.317,150,1-5,10-25,25-50,-0.8955202252033099,-1.218614688011467,-1.540647692007821,-0.4910746643386575,-0.4911989286268196,2023-03-11,41.875,15.9375,29.96875,0.35052263092039054,-1.2844915230600464,-1.4754572567011601
VC-N,2022,54,,2,N,01/12/22,1,25,93.75,10,89.6875,0.008323564630508207,0.309,32,25-50,75-95,75-95,-0.18896427559736376,1.6258577536051313,1.5626789945498514,-0.5677642303755712,-1.5820051037467715,2022-12-01,20.3125,82.5,86.5625,-0.3677136170937635,1.380214716322838,1.6006333445430716
VC-N,2023,36,,3,N,12/03/23,1,30,100,10,89.6875,0.008323564630508207,0.309,32,25-50,95-100,75-95,-0.0402156546276909,1.848082163106428,1.5626789945498514,-0.5677642303755712,-1.5820051037467715,2023-03-12,47.8125,79.6875,86.5625,0.5482978296489257,1.2676214949404625,1.6006333445430716
