Sitio,num_ind,no_species,Tipo,Pair,forest_cover_400,water_dist,forest_cover_400_scaled,water_dist_scaled,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled,Elevation,elevation_scaled
FLL-C,118,7,C,14,0.356,115,-0.5145628956748844,-0.7575699063820424,29.53125,53.75,74.71875,-0.3514687110457534,-0.16680560249139603,0.3809634077695541,360,-0.9740762133152009
FLL-V,99,9,V,14,0.461,275,-0.03918997033322613,0.7388644765948315,40.625,85.9375,91.734375,0.2071921718080374,1.0966193405913756,1.1397200280631752,356,-1.0265296232034407
GP-C,54,5,C,11,0.42,340,-0.22481177927615947,1.3467909446791864,58.90625,25.9375,50.690625,1.1278023590459743,-1.2585028834075773,-0.6904929105844686,338,-1.262569967700519
GP-N,45,5,N,11,0.4,346,-0.3153590031507609,1.402907234040819,56.40625,59.84375,67.140625,1.0019069488254018,0.07238649838349764,0.04304149698681191,355,-1.0396429756755006
JS-N,70,8,N,14,0.325,125,-0.6549110926805167,-0.6640427574459877,6.25,80.9375,83.078125,-1.5238697187248356,0.9003591552581296,0.7537226289422697,342,-1.2101165578122794
JZ-C,55,7,C,8,0.533,57,0.2867800356153395,-1.300027370211159,30.677083333333332,11.822916666666666,45.703125,-0.293766648027991,-1.8125290315878868,-0.9128943001140588,513,1.0322667149099667
JZ-N,35,5,N,8,0.556,68,0.3909093430711314,-1.197147506381499,68.38541666666667,49.58333333333333,72.328125,1.6051557894656456,-0.33035575693576796,0.2743612379762354,515,1.0584934198540865
JZJ-C,99,4,C,1,0.333,278,-0.6186922031306761,0.7669226212756478,40.46875,20.78125,24.828125,0.19932370866925161,-1.4608961995324874,-1.8437472337341485,520,1.1240601822143863
LG-C,53,7,C,3,0.392,405,-0.3515778927006015,1.9547174127635414,47.5,42.1875,39.703125,0.553404549914612,-0.6206572810745276,-1.1804448439090547,410,-0.3184085897122049
LG-N,82,6,N,3,0.322,317,-0.668493176261707,1.1316785021262608,50.78125,36.875,51.84375,0.7186422758291134,-0.8291837279911015,-0.6390730404488677,416,-0.2397284748798454
LL-C,58,3,C,7,0.233,268,-1.0714283225036838,0.6733954723395932,9.84375,43.75,41.484375,-1.3428950665327624,-0.5593259731578882,-1.1010157762199153,482,0.6257527882761093
LL-N,71,2,N,7,0.231,298,-1.080483044891144,0.9539769191477571,26.458333333333332,37.864583333333336,58.59375,-0.5062151527752072,-0.7903405663105632,-0.3380786786794973,504,0.9142465426614275
PM-C,81,7,C,2,0.306,254,-0.7409309553613883,0.5424574638291167,4.84375,30,41.859375,-1.5946858869739076,-1.099041482824315,-1.084293867232728,428,-0.08236824521512637
PM-N,63,5,N,2,0.298,289,-0.777149844911229,0.8698024851053079,9.84375,47.1875,61.0625,-1.3428950665327624,-0.4243970957412815,-0.2279927778471813,449,0.19301215669813193
PV-N,88,6,N,10,0.323,122,-0.6639658150679769,-0.6921009021268041,18.802083333333336,77.1875,70.546875,-0.8917698465757106,0.753164016258195,0.19493217028709603,347,-1.1445497954519799
VC-C,6,3,C,10,0.317,150,-0.6911299822303574,-0.4302248851058512,22.03125,19.53125,29.96875,-0.7291549417074711,-1.509961245865799,-1.6145177313681236,375,-0.7773759262343021
VC-N,92,4,N,10,0.309,32,-0.727348871780198,-1.5338452425512956,34.0625,81.09375,86.5625,-0.1232832800209656,0.9064922860497935,0.9090970332815512,333,-1.3281367300608187
