"","Sitio","Grupo","Tipo","Fecha","Transecto","Bloque","Numero","SHJ_ID","FVE_ID","DFM_ID","Final_ID","Codigo","Largo","Swab","Dedo","Recap","Foto","Muerto","Notas","...20","sample_date","year"
"39","LL-N","Estacion","N","3/9/22",2,"D","39","priach","priach","priach","priach","2",2.8,"Y","Y","N","39",NA,NA,NA,2022-09-03,"2022"
"40","LL-N","Estacion","N","3/9/22",4,"B","40","priach","priach","priach","priach","2",3.7,"Y","Y","N","40",NA,NA,NA,2022-09-03,"2022"
"41","LL-N","Estacion","N","3/9/22",4,"B","41","priach","priach","priach","priach","2",2.8,"Y","Y","N","41",NA,NA,NA,2022-09-03,"2022"
"42","LL-N","Estacion","N","3/9/22",4,"B","42","priach","priach","priach","priach","2",3,"Y","Y","N","42",NA,NA,NA,2022-09-03,"2022"
"43","LL-N","Estacion","N","3/9/22",4,"C","43","priach","priach","priach","priach","2",3.4,"Y","Y","N","43",NA,NA,NA,2022-09-03,"2022"
"44","JZ-N","Estacion","N","5/9/22",1,"C","44","priach","priach","priach","priach","20",3.4,"Y","Y","N","44",NA,NA,NA,2022-09-05,"2022"
"45","JZ-N","Estacion","N","5/9/22",2,"A","45","priach","priach","priach","priach","20",2.3,"Y","Y","N","45",NA,NA,NA,2022-09-05,"2022"
"46","JZ-N","Estacion","N","5/9/22",3,"D","46","priach","priach","priach","priach","20",1.8,"Y","Y","N","46",NA,NA,NA,2022-09-05,"2022"
"47","JZ-N","Estacion","N","5/9/22",4,"A","47","priach","priach","priach","priach","20",4.3,"Y","Y","N","47",NA,NA,NA,2022-09-05,"2022"
"48","JZ-C","Estacion","C","5/9/22",1,"A","48","priach","priach","priach","priach","5",2.1,"Y","Y","N","48",NA,"uno escapo del 1B",NA,2022-09-05,"2022"
"49","JZ-C","Estacion","C","5/9/22",1,"C","49","priach","priach","priach","priach","5",4.2,"Y","Y","N","49",NA,NA,NA,2022-09-05,"2022"
"50","JZ-C","Estacion","C","5/9/22",2,"B","50","priach","priach","priach","priach","5",2.6,"Y","Y","N","50",NA,NA,NA,2022-09-05,"2022"
"51","JZ-C","Estacion","C","5/9/22",2,"C","51","priach","priach","priach","priach","5",2.8,"Y","Y","N","51",NA,NA,NA,2022-09-05,"2022"
"52","JZ-C","Estacion","C","5/9/22",3,"C","52","priach","priach","priach","priach","5",1.9,"Y","Y","N","52",NA,NA,NA,2022-09-05,"2022"
"53","JZ-C","Estacion","C","5/9/22",3,"D","53","priach","priach","priach","priach","5",3.2,"Y","Y","N","53",NA,NA,NA,2022-09-05,"2022"
"54","LL-N","Estacion","N","6/9/22",1,"A","54","priach","priach","priach","priach","2",2.9,"Y","Y","N","54",NA,"uno escapo del 1C",NA,2022-09-06,"2022"
"55","LL-N","Estacion","N","6/9/22",2,"A","55","priach","priach","priach","priach","2",2.7,"Y","Y","N","55",NA,NA,NA,2022-09-06,"2022"
"56","LL-N","Estacion","N","6/9/22",2,"B","56","priach","priach","priach","priach","2",2.9,"Y","Y","N","56",NA,NA,NA,2022-09-06,"2022"
"57","LL-N","Estacion","N","6/9/22",2,"C","57","priach","priach","priach","priach","2",1.9,"Y","Y","N","57",NA,NA,NA,2022-09-06,"2022"
"58","LL-N","Estacion","N","6/9/22",2,"B","58","priach","priach","priach","priach","2",3.6,"Y","Y","N","58",NA,NA,NA,2022-09-06,"2022"
"59","LL-N","Estacion","N","6/9/22",2,"D","59","priach","priach","priach","priach","2",3.1,"Y","Y","N","59",NA,NA,NA,2022-09-06,"2022"
"60","LL-N","Estacion","N","6/9/22",3,"B","60","priach","priach","priach","priach","2",4.1,"Y","Y","N","60",NA,NA,NA,2022-09-06,"2022"
"61","LL-N","Estacion","N","6/9/22",3,"C","61","priach","priach","priach","priach","2",NA,"Y","N","N","61",NA,"escapo, no pudimos medir ni cortar dedo pero si hay swab",NA,2022-09-06,"2022"
"62","LL-N","Estacion","N","6/9/22",3,"B","62","priach","priach","priach","priach","2",2.9,"Y","Y","N","62",NA,NA,NA,2022-09-06,"2022"
"63","LL-N","Estacion","N","6/9/22",4,"B","63","priach","priach","priach","priach","2",3.9,"Y","Y","N","63",NA,NA,NA,2022-09-06,"2022"
"64","LL-N","Estacion","N","6/9/22",4,"B","64","priach","priach","priach","priach","2",2.7,"Y","Y","N","64",NA,NA,NA,2022-09-06,"2022"
"65","LL-N","Estacion","N","6/9/22",4,"B","65","priach","priach","priach","priach","2",3.8,"Y","Y","N","65",NA,NA,NA,2022-09-06,"2022"
"66","LL-N","Estacion","N","6/9/22",4,"C","66","epibou","epibou","epibou","epibou","2",1.6,"Y","Y","N","66",NA,NA,NA,2022-09-06,"2022"
"67","LL-N","Estacion","N","6/9/22",4,"D","67","priach","priach","priach","priach","2",2.5,"Y","Y","N","67",NA,NA,NA,2022-09-06,"2022"
"68","LL-N","Estacion","N","6/9/22",4,"D","68","priach","priach","priach","priach","2",2.8,"Y","Y","N","68",NA,NA,NA,2022-09-06,"2022"
"69","LL-C","Estacion","C","6/9/22",1,"A","69","priach","priach","priach","priach","3",1.3,"Y","Y","N","69","muerto","murió",NA,2022-09-06,"2022"
"70","LL-C","Estacion","C","6/9/22",1,"C","70","priach","priach","priach","priach","3",3.1,"Y","Y","N","70",NA,NA,NA,2022-09-06,"2022"
"71","LL-C","Estacion","C","6/9/22",2,"A","71","priach","priach","priach","priach","3",0.8,"Y","Y","N","71",NA,NA,NA,2022-09-06,"2022"
"72","LL-C","Estacion","C","6/9/22",2,"C","72","priach","priach","priach","priach","3",2.8,"Y","Y","N","72",NA,NA,NA,2022-09-06,"2022"
"73","LL-C","Estacion","C","6/9/22",3,"A","73","priach","priach","priach","priach","3",2.6,"Y","Y","N","73",NA,NA,NA,2022-09-06,"2022"
"74","LL-C","Estacion","C","6/9/22",3,"B","74","priach","priach","priach","priach","3",2.9,"Y","Y","N","74",NA,NA,NA,2022-09-06,"2022"
"75","LL-C","Estacion","C","6/9/22",3,"C","75","priach","priach","priach","priach","3",3,"Y","Y","N","75",NA,NA,NA,2022-09-06,"2022"
"76","LL-C","Estacion","C","6/9/22",3,"C","76","priach","priach","priach","priach","3",2.6,"Y","Y","N","76",NA,NA,NA,2022-09-06,"2022"
"77","JZ-C","Estacion","C","7/9/22",1,"A","77","priach","priach","priach","priach","5",2.4,"Y","Y","N","77",NA,NA,NA,2022-09-07,"2022"
"78","JZ-C","Estacion","C","7/9/22",1,"A","78","priach","priach","priach","priach","5",2.9,"Y","Y","N","77",NA,NA,NA,2022-09-07,"2022"
"79","JZ-C","Estacion","C","7/9/22",1,"D","79","priach","priach","priach","priach","5",3.6,"Y","Y","N","79",NA,NA,NA,2022-09-07,"2022"
"80","JZ-C","Estacion","C","7/9/22",1,"D","80","priach","priach","priach","priach","5",3.6,"Y","Y","N","80",NA,NA,NA,2022-09-07,"2022"
"81","JZ-C","Estacion","C","7/9/22",2,"A","81","priach","priach","priach","priach","5",2.9,"Y","Y","N","79",NA,NA,NA,2022-09-07,"2022"
"82","JZ-C","Estacion","C","7/9/22",2,"A","82","priach","priach","priach","priach","5",1.7,"Y","Y","N","82",NA,NA,NA,2022-09-07,"2022"
"83","JZ-C","Estacion","C","7/9/22",2,"C","83","priach","priach","priach","priach","5",3,"Y","Y","N","R15",NA,NA,NA,2022-09-07,"2022"
"84","JZ-C","Estacion","C","7/9/22",3,"D","84","priach","priach","priach","priach","5",2.9,"Y","Y","N","77",NA,NA,NA,2022-09-07,"2022"
"85","JZ-C","Estacion","C","7/9/22",3,"D","85","smipha","smipha","smipha","smipha","5",6.9,"Y","Y","N","85",NA,NA,NA,2022-09-07,"2022"
"86","JZ-C","Estacion","C","7/9/22",4,"B","86","boaboa","boaboa","boaboa","boaboa","5",6.5,"Y","Y","N","86",NA,NA,NA,2022-09-07,"2022"
"87","JZ-C","Estacion","C","7/9/22",4,"D","87","priach","priach","priach","priach","5",3.2,"Y","Y","N","79",NA,NA,NA,2022-09-07,"2022"
"88","JZ-N","Estacion","N","7/9/22",1,"D","89","rhiala","rhiala","rhiala","rhiala","0022 + 0005",1.6,"Y","Y","N","89",NA,"mal corté, tuve que arreglarlo",NA,2022-09-07,"2022"
"89","JZ-N","Estacion","N","7/9/22",2,"A","90","priach","priach","priach","priach","20",2.7,"Y","Y","N","R17",NA,NA,NA,2022-09-07,"2022"
"90","JZ-N","Estacion","N","7/9/22",2,"B","91","priach","priach","priach","priach","20",2.9,"Y","Y","N","R17",NA,NA,NA,2022-09-07,"2022"
"91","JZ-N","Estacion","N","7/9/22",2,"C","92","rhiala","rhiala","rhiala","rhiala","20",2,"Y","Y","N","92",NA,NA,NA,2022-09-07,"2022"
"92","FCAT-V2","Estacion","V","8/9/22",1,"C","93","oopsyl","oopsyl","oopsyl","oopsyl","30",2.5,"Y","Y","N","93",NA,NA,NA,2022-09-08,"2022"
"93","FCAT-V2","Estacion","V","8/9/22",2,"A","94","priach","priach","priach","priach","30",2.8,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"94","FCAT-V2","Estacion","V","8/9/22",3,"D","95","priach","priach","priach","priach","30",2,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"95","FCAT-V2","Estacion","V","8/9/22",4,"A","96","priach","priach","priach","priach","30",2,"Y","Y","N","96",NA,NA,NA,2022-09-08,"2022"
"96","FCAT-B2","Estacion","B","8/9/22",1,"B","97","oopsyl","oopsyl","oopsyl","oopsyl","0030 + 0040",1.8,"Y","Y","N","93",NA,"mal corté, tuve que arreglarlo",NA,2022-09-08,"2022"
"97","FCAT-B2","Estacion","B","8/9/22",1,"C","98","priach","priach","priach","priach","40",2.9,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"98","FCAT-B2","Estacion","B","8/9/22",1,"C","99","priach","priach","priach","priach","40",2.9,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"99","FCAT-B2","Estacion","B","8/9/22",2,"A","100","priwal","priwal","priach","priach","40",2.9,"Y","Y","N","100",NA,NA,NA,2022-09-08,"2022"
"100","FCAT-B2","Estacion","B","8/9/22",2,"D","101","epiesp","epiesp","epiesp","epiesp","0030 + 0040",1.8,"Y","Y","N","101",NA,"Epipedobates espinosai",NA,2022-09-08,"2022"
"101","FCAT-B2","Estacion","B","8/9/22",3,"A","102","oopsyl","oopsyl","oopsyl","oopsyl","40",2.2,"Y","Y","N","93",NA,NA,NA,2022-09-08,"2022"
"102","FCAT-B2","Estacion","B","8/9/22",3,"A","103","priach","priach","priach","priach","40",2.6,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"103","FCAT-B2","Estacion","B","8/9/22",3,"A","104","priach","priach","priach","priach","40",2.6,"Y","Y","N","94",NA,NA,NA,2022-09-08,"2022"
"104","FCAT-B2","Estacion","B","8/9/22",4,"D","105","leubil","leubil","leubil","leubil","40",2.5,"Y","Y","N","105","colectado","muerto - tomamos el individuo para llevar al USFQ",NA,2022-09-08,"2022"
"105","AL-N","Estacion","N","9/9/22",1,"A","106","priach","priach","priach","priach","200",2,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"106","AL-N","Estacion","N","9/9/22",2,"A","107","priach","priach","priach","priach","200",2.3,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"107","AL-N","Estacion","N","9/9/22",2,"B","108","priach","priach","priach","priach","200",2.1,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"108","AL-N","Estacion","N","9/9/22",2,"B","109","priach","priach","priach","priach","200",3.5,"Y","Y","N","109",NA,NA,NA,2022-09-09,"2022"
"109","AL-N","Estacion","N","9/9/22",2,"C","110","priach","priach","priach","priach","200",2.3,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"110","AL-N","Estacion","N","9/9/22",3,"B","111","priach","priach","priach","priach","200",2.1,"Y","Y","N","111",NA,NA,NA,2022-09-09,"2022"
"111","AL-N","Estacion","N","9/9/22",4,"D","112","priach","priach","priach","priach","200",1.8,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"112","JZJ-C","Estacion","C","9/9/22",1,"A","113","priach","priach","priach","priach","300",1.8,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"113","JZJ-C","Estacion","C","9/9/22",1,"B","114","priach","priach","priach","priach","300",2.2,"Y","Y","N","114",NA,NA,NA,2022-09-09,"2022"
"114","JZJ-C","Estacion","C","9/9/22",1,"B","115","priach","priach","priach","priach","300",2.6,"Y","Y","N","114",NA,NA,NA,2022-09-09,"2022"
"115","JZJ-C","Estacion","C","9/9/22",1,"C","116","priach","priach","priach","priach","300",2.1,"Y","Y","N","116",NA,NA,NA,2022-09-09,"2022"
"116","JZJ-C","Estacion","C","9/9/22",1,"C","117","priach","priach","priach","priach","300",2.2,"Y","Y","N","117",NA,NA,NA,2022-09-09,"2022"
"117","JZJ-C","Estacion","C","9/9/22",1,"C","118","priach","priach","priach","priach","300",2.3,"Y","Y","N","114",NA,NA,NA,2022-09-09,"2022"
"118","JZJ-C","Estacion","C","9/9/22",1,"D","119","priach","priach","priach","priach","300",1.6,"Y","Y","N","114",NA,NA,NA,2022-09-09,"2022"
"119","JZJ-C","Estacion","C","9/9/22",2,"A","120","priach","priach","priach","priach","300",2.5,"Y","Y","N","117",NA,NA,NA,2022-09-09,"2022"
"120","JZJ-C","Estacion","C","9/9/22",2,"A","121","priach","priach","priach","priach","300",2.8,"Y","Y","N","106",NA,NA,NA,2022-09-09,"2022"
"121","JZJ-C","Estacion","C","9/9/22",2,"B","122","priach","priach","priach","priach","300",3.4,"Y","Y","N","122",NA,NA,NA,2022-09-09,"2022"
"122","JZJ-C","Estacion","C","9/9/22",2,"C","123","priach","priach","priach","priach","300",2.2,"Y","Y","N","123",NA,NA,NA,2022-09-09,"2022"
"123","JZJ-C","Estacion","C","9/9/22",2,"D","124","priach","priach","priach","priach","300",2.9,"Y","Y","N","123",NA,NA,NA,2022-09-09,"2022"
"124","JZJ-C","Estacion","C","9/9/22",3,"A","125","priach","priach","priach","priach","300",2.7,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"125","JZJ-C","Estacion","C","9/9/22",3,"B","126","priach","priach","priach","priach","300",4.3,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"126","JZJ-C","Estacion","C","9/9/22",3,"C","127","priach","priach","priach","priach","300",2.5,"Y","Y","N","114",NA,NA,NA,2022-09-09,"2022"
"127","JZJ-C","Estacion","C","9/9/22",3,"C","128","priach","priach","priach","priach","300",3.7,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"128","JZJ-C","Estacion","C","9/9/22",3,"C","129","priach","priach","priach","priach","300",2.9,"Y","Y","N","109",NA,NA,NA,2022-09-09,"2022"
"129","JZJ-C","Estacion","C","9/9/22",3,"D","130","priach","priach","priach","priach","300",3.2,"Y","Y","N","109",NA,NA,NA,2022-09-09,"2022"
"130","JZJ-C","Estacion","C","9/9/22",3,"D","131","priach","priach","priach","priach","300",3,"Y","Y","N","109",NA,NA,NA,2022-09-09,"2022"
"131","JZJ-C","Estacion","C","9/9/22",4,"A","132","priach","priach","priach","priach","300",3.4,"Y","Y","N","132",NA,NA,NA,2022-09-09,"2022"
"132","JZJ-C","Estacion","C","9/9/22",4,"A","133","priach","priach","priach","priach","300",2.6,"Y","Y","N","132",NA,NA,NA,2022-09-09,"2022"
"133","JZJ-C","Estacion","C","9/9/22",4,"B","134","priach","priach","priach","priach","300",2.4,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"134","JZJ-C","Estacion","C","9/9/22",4,"D","135","priach","priach","priach","priach","300",2.8,"Y","Y","N","109",NA,NA,NA,2022-09-09,"2022"
"135","JZJ-C","Estacion","C","9/9/22",4,"D","136","priach","priach","priach","priach","300",2.7,"Y","Y","N","108",NA,NA,NA,2022-09-09,"2022"
"136","FCAT-B2","Estacion","B","10/9/22",1,"A","137","epibou","epibou","epibou","epibou","40",1.6,"Y","Y","N","137",NA,NA,NA,2022-09-10,"2022"
"137","FCAT-B2","Estacion","B","10/9/22",2,"C","138","epibou","epibou","priach","priach","40",1.8,"Y","Y","N","138",NA,"confirmado que es priach - DFM, misma foto identificado como priach, epibou",NA,2022-09-10,"2022"
"138","FCAT-B2","Estacion","B","10/9/22",2,"D","139","priach","priach","priach","priach","40",3.6,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"139","FCAT-B2","Estacion","B","10/9/22",3,"B","140","priach","priach","priach","priach","40",3,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"140","FCAT-B2","Estacion","B","10/9/22",4,"A","141","priach","priach","priach","priach","40",3.2,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"141","FCAT-B2","Estacion","B","10/9/22",4,"C","142","priach","priach","priach","priach","40",2.1,"Y","Y","N","138",NA,"misma foto identificado como priach, epibou, confirmado que es priach",NA,2022-09-10,"2022"
"142","FCAT-B2","Estacion","B","10/9/22",4,"D","143","priach","priach","priach","priach","40",2.6,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"143","FCAT-B2","Estacion","B","10/9/22",4,"D","144","priach","priach","priach","priach","40",2.9,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"144","FCAT-V2","Estacion","V","10/9/22",1,"A","145","priach","priach","priach","priach","30",3.8,"Y","Y","N","145",NA,NA,NA,2022-09-10,"2022"
"145","FCAT-V2","Estacion","V","10/9/22",1,"A","146","priach","priach","priach","priach","30",3.5,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"146","FCAT-V2","Estacion","V","10/9/22",1,"B","147","priach","priach","priach","priach","30",2.3,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"147","FCAT-V2","Estacion","V","10/9/22",1,"D","148","oopsyl","oopsyl","oopsyl","priach","30",2.9,"Y","Y","N","R19",NA,NA,NA,2022-09-10,"2022"
"148","FCAT-V2","Estacion","V","10/9/22",2,"A","149","priach","priach","priach","priach","30",3,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"149","FCAT-V2","Estacion","V","10/9/22",2,"C","150","priach","priach","priach","priach","30",2.2,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"150","FCAT-V2","Estacion","V","10/9/22",2,"C","151","priach","priach","priach","priach","30",3.4,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"151","FCAT-V2","Estacion","V","10/9/22",2,"D","152","priach","priach","priach","priach","30",2.8,"Y","Y","N","152",NA,NA,NA,2022-09-10,"2022"
"152","FCAT-V2","Estacion","V","10/9/22",3,"D","153","priach","priach","priach","priach","30",2.8,"Y","Y","N","139",NA,NA,NA,2022-09-10,"2022"
"153","FCAT-V2","Estacion","V","10/9/22",3,"D","154","priach","priach","priach","priach","30",2.2,"Y","Y","N","154",NA,NA,NA,2022-09-10,"2022"
"154","JZJ-C","Estacion","C","12/9/22",1,"A","155","priach","priach","priach","priach","300",2.6,"Y","Y","N","155",NA,NA,NA,2022-09-12,"2022"
"155","JZJ-C","Estacion","C","12/9/22",1,"A","156","priach","priach","priach","priach","300",3.5,"Y","Y","N","156",NA,NA,NA,2022-09-12,"2022"
"156","JZJ-C","Estacion","C","12/9/22",1,"A","157","priach","priach","priach","priach","300",2,"Y","Y","N","157",NA,NA,NA,2022-09-12,"2022"
"157","JZJ-C","Estacion","C","12/9/22",1,"B","158","priach","priach","priach","priach","300",2.4,"Y","Y","N","157",NA,NA,NA,2022-09-12,"2022"
"158","JZJ-C","Estacion","C","12/9/22",1,"B","159","priach","priach","priach","priach","300",2.5,"Y","Y","N","156",NA,NA,NA,2022-09-12,"2022"
"159","JZJ-C","Estacion","C","12/9/22",1,"B","160","priach","priach","priach","priach","300",2.8,"Y","Y","N","155",NA,NA,NA,2022-09-12,"2022"
"160","JZJ-C","Estacion","C","12/9/22",1,"C","161","priach","priach","priach","priach","300",2.2,"Y","Y","N","160",NA,NA,NA,2022-09-12,"2022"
"161","JZJ-C","Estacion","C","12/9/22",2,"A","162","priach","priach","priach","priach","300",1.7,"Y","Y","N","157",NA,NA,NA,2022-09-12,"2022"
"162","JZJ-C","Estacion","C","12/9/22",2,"B","163","priach","priach","priach","priach","300",3.6,"Y","Y","N","155",NA,NA,NA,2022-09-12,"2022"
"163","JZJ-C","Estacion","C","12/9/22",2,"B","164","priach","priach","priach","priach","300",3.3,"Y","Y","N","155",NA,NA,NA,2022-09-12,"2022"
"164","JZJ-C","Estacion","C","12/9/22",2,"C","165","priach","priach","priach","priach","300",2.3,"Y","Y","N","156",NA,NA,NA,2022-09-12,"2022"
"165","JZJ-C","Estacion","C","12/9/22",2,"C","166","priach","priach","priach","priach","300",3.9,"Y","Y","N","166",NA,NA,NA,2022-09-12,"2022"
"166","JZJ-C","Estacion","C","12/9/22",3,"A","167","priach","priach","priach","priach","300",3.4,"Y","Y","N","166",NA,NA,NA,2022-09-12,"2022"
"167","JZJ-C","Estacion","C","12/9/22",3,"B","168","priach","priach","priach","priach","300",2.6,"Y","Y","N","168",NA,NA,NA,2022-09-12,"2022"
"168","JZJ-C","Estacion","C","12/9/22",3,"B","169","priach","priach","priach","priach","300",1.9,"Y","Y","N","169",NA,NA,NA,2022-09-12,"2022"
"169","JZJ-C","Estacion","C","12/9/22",3,"C","170","priach","priach","priach","priach","300",3.3,"Y","Y","N","170",NA,"en amplexus",NA,2022-09-12,"2022"
"170","JZJ-C","Estacion","C","12/9/22",3,"C","171","priach","priach","priach","priach","300",2.7,"Y","Y","N","156",NA,"en amplexus",NA,2022-09-12,"2022"
