Well,Concentration (Copies/無),Bd_Loads (Copies/無),Sample_ID
258,0,0,HJ 1139
259,0,0,HJ 1146
260,0,0,HJ 1152
261,0,0,HJ 1154
262,0,0,HJ 1176
263,0,0,HJ 1180
264,0.8612,8.612,HJ 1181
265,0,0,HJ 1182
266,0,0,HJ 1183
267,0,0,HJ 1184
268,0,0,HJ 1185
269,0,0,HJ 1187
270,0,0,HJ 1188
271,0,0,HJ 1190
272,0,0,HJ 1192
273,0,0,HJ 1193
274,0,0,HJ 1194
275,0,0,HJ 1196
276,0,0,HJ 1200
277,0,0,HJ 1202
278,0,0,HJ 1205
279,0.6133,6.133,HJ 1207
280,0,0,HJ 1210
281,0,0,HJ 1214
282,0.1364,1.364,HJ 1223
283,0.1814,1.814,HJ 1224
284,0,0,HJ 1226
285,0,0,HJ 1228
286,0,0,HJ 1231
287,0,0,HJ 1232
288,0.9243,9.243,HJ 1334
289,0,0,HJ 1235
290,0,0,HJ 1236
291,0.1068,1.068,HJ 1237
292,0,0,HJ 1242
293,0,0,HJ 1251
294,1.054,10.54,HJ 1254
295,0,0,HJ 1255
296,0,0,HJ 1256
297,0,0,HJ 1258
298,0,0,HJ 1262
299,0,0,HJ 1265
300,0,0,HJ 1275
301,0,0,HJ 1277
302,0,0,HJ 1278
303,0,0,HJ 1280
304,0,0,HJ 1282
305,0,0,HJ 1283
306,0,0,HJ 1284
307,0,0,HJ 1285
308,0,0,HJ 1289
309,0,0,HJ 1288
310,0,0,HJ 1290
311,0,0,HJ 1293
312,0,0,HJ 1294
313,0,0,HJ 1295
314,0,0,HJ 1296
315,0,0,HJ 1297
316,0,0,HJ 1298
317,0,0,HJ 1300
318,0,0,HJ 1301
319,0,0,HJ 1303
320,0,0,HJ 1304
321,0,0,HJ 1305
322,0,0,HJ 1313
323,0,0,HJ 1314
324,0,0,HJ 1318
325,0,0,HJ 1319
326,0,0,HJ 1325
327,0,0,HJ 1335
328,0,0,HJ 1336
329,0,0,HJ 1339
330,0,0,HJ 1340
331,0,0,HJ 1341
332,0,0,HJ 1342
333,0,0,HJ 1344
334,0,0,HJ 1345
335,0,0,HJ 1347
336,0,0,HJ 1350
337,0.3538,3.538,HJ 1353
338,0,0,HJ 1354
339,0,0,HJ 1355
340,0,0,HJ 1361
341,0,0,HJ 1362
342,0,0,HJ 1363
343,0,0,HJ 1364
344,0,0,HJ 1366
345,0,0,HJ 1369
346,0,0,HJ 1370
347,0,0,HJ 1373
348,0,0,HJ 1380
349,0,0,HJ 1382
350,0,0,HJ 1387
