Sitio,Tipo,Fecha,Transecto,Bloque,Numero,Especie,FVE ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Notas
LL-N,N,06/09/22,4,D,67,priach,priach,0002,2.5,Y,Y,N,67,
LL-N,N,06/09/22,4,D,68,priach,priach,0002,2.8,Y,Y,N,68,
LL-C,C,06/09/22,1,A,69,priach,priach,0003,1.3,Y,Y,N,69,murió
LL-C,C,06/09/22,1,B,R11,priach,priach,0003,NA,N,N,Y,R11,
LL-C,C,06/09/22,1,C,70,priach,priach,0003,3.1,Y,Y,N,70,
LL-C,C,06/09/22,2,A,R12,priach,priach,0003,NA,N,N,Y,R12,
LL-C,C,06/09/22,2,A,71,priach,priach,0003,0.8,Y,Y,N,71,
LL-C,C,06/09/22,2,C,R13,priach,priach,0003,NA,N,N,Y,R13,
LL-C,C,06/09/22,2,C,72,priach,priach,0003,2.8,Y,Y,N,72,
LL-C,C,06/09/22,3,A,R14,priach,priach,0003,NA,N,N,Y,R14,
LL-C,C,06/09/22,3,A,73,priach,priach,0003,2.6,Y,Y,N,73,
LL-C,C,06/09/22,3,B,74,priach,priach,0003,2.9,Y,Y,N,74,
LL-C,C,06/09/22,3,C,75,priach,priach,0003,3.0,Y,Y,N,75,
LL-C,C,06/09/22,3,C,76,priach,priach,0003,2.6,Y,Y,N,76,
JZ-C,C,07/09/22,1,A,77,priach,priach,0005,2.4,Y,Y,N,77,
JZ-C,C,07/09/22,1,A,78,priach,priach,0005,2.9,Y,Y,N,77,
JZ-C,C,07/09/22,1,C,R15,priach,priach,0005,NA,N,N,Y,R15,
JZ-C,C,07/09/22,1,D,79,priach,priach,0005,3.6,Y,Y,N,79,
JZ-C,C,07/09/22,1,D,80,priach,priach,0005,3.6,Y,Y,N,80,
JZ-C,C,07/09/22,2,A,81,priach,priach,0005,2.9,Y,Y,N,79,
JZ-C,C,07/09/22,2,A,82,priach,priach,0005,1.7,Y,Y,N,82,
JZ-C,C,07/09/22,2,C,83,priach,priach,0005,3.0,Y,Y,N,R15,
JZ-C,C,07/09/22,2,D,R16,priach,priach,0005,NA,N,N,Y,82,
JZ-C,C,07/09/22,3,,R17,priach,priach,0005,NA,N,N,Y,R17,
JZ-C,C,07/09/22,3,D,84,priach,priach,0005,2.9,Y,Y,N,77,
JZ-C,C,07/09/22,3,D,85,smipha,smipha,0005,6.9,Y,Y,N,85,
JZ-C,C,07/09/22,4,B,86,boaboa,boaboa,0005,6.5,Y,Y,N,86,
JZ-C,C,07/09/22,4,D,87,priach,priach,0005,3.2,Y,Y,N,79,
JZ-N,N,07/09/22,1,B,88,priach,priach,0022 + 0005,2.6,N,N,Y,R17,"mal corté, tuve que arreglarlo"
JZ-N,N,07/09/22,1,D,89,rhiala,rhiala,0022 + 0005,1.6,Y,Y,N,89,"mal corté, tuve que arreglarlo"
JZ-N,N,07/09/22,2,A,90,priach,priach,0020,2.7,Y,Y,N,R17,
JZ-N,N,07/09/22,2,B,91,priach,priach,0020,2.9,Y,Y,N,R17,
JZ-N,N,07/09/22,2,C,92,rhiala,rhiala,0020,2.0,Y,Y,N,92,
FCAT-V2,V,08/09/22,1,C,93,oopsyl,oopsyl,0030,2.5,Y,Y,N,93,
FCAT-V2,V,08/09/22,2,A,94,priach,priach,0030,2.8,Y,Y,N,94,
FCAT-V2,V,08/09/22,3,D,95,priach,priach,0030,2.0,Y,Y,N,94,
FCAT-V2,V,08/09/22,4,A,96,priach,priach,0030,2.0,Y,Y,N,96,
FCAT-B2,B,08/09/22,1,B,97,oopsyl,oopsyl,0030 + 0040,1.8,Y,Y,N,93,"mal corté, tuve que arreglarlo"
FCAT-B2,B,08/09/22,1,C,98,priach,priach,0040,2.9,Y,Y,N,94,
FCAT-B2,B,08/09/22,1,C,99,priach,priach,0040,2.9,Y,Y,N,94,
FCAT-B2,B,08/09/22,2,A,100,priwal,priwal,0040,2.9,Y,Y,N,100,
FCAT-B2,B,08/09/22,2,D,101,epiesp,epiesp,0030 + 0040,1.8,Y,Y,N,101,Epipedobates espinosai 
FCAT-B2,B,08/09/22,3,A,102,oopsyl,oopsyl,0040,2.2,Y,Y,N,93,
FCAT-B2,B,08/09/22,3,A,103,priach,priach,0040,2.6,Y,Y,N,94,
FCAT-B2,B,08/09/22,3,A,104,priach,priach,0040,2.6,Y,Y,N,94,
FCAT-B2,B,08/09/22,4,D,105,leubil,leubil,0040,2.5,Y,Y,N,105,muerto - tomamos el individuo para llevar al USFQ
AL-N,N,09/09/22,1,A,106,priach,priach,0200,2.0,Y,Y,N,106,
AL-N,N,09/09/22,2,A,107,priach,priach,0200,2.3,Y,Y,N,106,
AL-N,N,09/09/22,2,B,108,priach,priach,0200,2.1,Y,Y,N,108,
AL-N,N,09/09/22,2,B,109,priach,priach,0200,3.5,Y,Y,N,109,
AL-N,N,09/09/22,2,C,110,priach,priach,0200,2.3,Y,Y,N,106,
AL-N,N,09/09/22,3,B,111,priach,priach,0200,2.1,Y,Y,N,111,
AL-N,N,09/09/22,4,D,112,priach,priach,0200,1.8,Y,Y,N,106,
JZJ-C,C,09/09/22,1,A,113,priach,priach,0300,1.8,Y,Y,N,106,
JZJ-C,C,09/09/22,1,B,114,priach,priach,0300,2.2,Y,Y,N,114,
JZJ-C,C,09/09/22,1,B,115,priach,priach,0300,2.6,Y,Y,N,114,
JZJ-C,C,09/09/22,1,C,116,priach,priach,0300,2.1,Y,Y,N,116,
JZJ-C,C,09/09/22,1,C,117,priach,priach,0300,2.2,Y,Y,N,117,
JZJ-C,C,09/09/22,1,C,118,priach,priach,0300,2.3,Y,Y,N,114,
JZJ-C,C,09/09/22,1,D,119,priach,priach,0300,1.6,Y,Y,N,114,
JZJ-C,C,09/09/22,2,A,120,priach,priach,0300,2.5,Y,Y,N,117,
JZJ-C,C,09/09/22,2,A,121,priach,priach,0300,2.8,Y,Y,N,106,
JZJ-C,C,09/09/22,2,B,122,priach,priach,0300,3.4,Y,Y,N,122,
JZJ-C,C,09/09/22,2,C,123,priach,priach,0300,2.2,Y,Y,N,123,
JZJ-C,C,09/09/22,2,D,124,priach,priach,0300,2.9,Y,Y,N,123,
JZJ-C,C,09/09/22,3,A,125,priach,priach,0300,2.7,Y,Y,N,108,
JZJ-C,C,09/09/22,3,B,126,priach,priach,0300,4.3,Y,Y,N,108,
JZJ-C,C,09/09/22,3,C,127,priach,priach,0300,2.5,Y,Y,N,114,
JZJ-C,C,09/09/22,3,C,128,priach,priach,0300,3.7,Y,Y,N,108,
JZJ-C,C,09/09/22,3,C,129,priach,priach,0300,2.9,Y,Y,N,109,
JZJ-C,C,09/09/22,3,D,130,priach,priach,0300,3.2,Y,Y,N,109,
JZJ-C,C,09/09/22,3,D,131,priach,priach,0300,3.0,Y,Y,N,109,
JZJ-C,C,09/09/22,4,A,132,priach,priach,0300,3.4,Y,Y,N,132,
JZJ-C,C,09/09/22,4,A,133,priach,priach,0300,2.6,Y,Y,N,132,
JZJ-C,C,09/09/22,4,B,134,priach,priach,0300,2.4,Y,Y,N,108,
JZJ-C,C,09/09/22,4,D,135,priach,priach,0300,2.8,Y,Y,N,109,
JZJ-C,C,09/09/22,4,D,136,priach,priach,0300,2.7,Y,Y,N,108,
FCAT-B2,B,10/09/22,1,A,137,epibou,epibou,0040,1.6,Y,Y,N,137,
FCAT-B2,B,10/09/22,1,C,R18,priach,priach,0040,NA,N,N,Y,R18,
FCAT-B2,B,10/09/22,2,C,138,epibou,epibou,0040,1.8,Y,Y,N,138,
FCAT-B2,B,10/09/22,2,D,139,priach,priach,0040,3.6,Y,Y,N,139,
FCAT-B2,B,10/09/22,3,A,R19,oopsyl,oopsyl,0010 + 0040,NA,N,N,Y,R19,"mal corto, no tuvo el 0010 cuando lo encontramos pues coregimos el codigo"
FCAT-B2,B,10/09/22,3,B,140,priach,priach,0040,3.0,Y,Y,N,139,
FCAT-B2,B,10/09/22,4,A,141,priach,priach,0040,3.2,Y,Y,N,139,
FCAT-B2,B,10/09/22,4,C,142,priach,priach,0040,2.1,Y,Y,N,138,
FCAT-B2,B,10/09/22,4,D,143,priach,priach,0040,2.6,Y,Y,N,139,
FCAT-B2,B,10/09/22,4,D,144,priach,priach,0040,2.9,Y,Y,N,139,
FCAT-V2,V,10/09/22,1,A,145,priach,priach,0030,3.8,Y,Y,N,145,
FCAT-V2,V,10/09/22,1,A,146,priach,priach,0030,3.5,Y,Y,N,139,
FCAT-V2,V,10/09/22,1,B,147,priach,priach,0030,2.3,Y,Y,N,139,
FCAT-V2,V,10/09/22,1,D,148,oopsyl,oopsyl,0030,2.9,Y,Y,N,R19,
FCAT-V2,V,10/09/22,2,A,149,priach,priach,0030,3.0,Y,Y,N,139,
FCAT-V2,V,10/09/22,2,C,150,priach,priach,0030,2.2,Y,Y,N,139,
FCAT-V2,V,10/09/22,2,C,151,priach,priach,0030,3.4,Y,Y,N,139,
FCAT-V2,V,10/09/22,2,D,152,priach,priach,0030,2.8,Y,Y,N,152,
FCAT-V2,V,10/09/22,3,D,153,priach,priach,0030,2.8,Y,Y,N,139,
FCAT-V2,V,10/09/22,3,D,154,priach,priach,0030,2.2,Y,Y,N,154,
JZJ-C,C,12/09/22,1,A,155,priach,priach,0300,2.6,Y,Y,N,155,
JZJ-C,C,12/09/22,1,A,156,priach,priach,0300,3.5,Y,Y,N,156,
JZJ-C,C,12/09/22,1,A,157,priach,priach,0300,2.0,Y,Y,N,157,
JZJ-C,C,12/09/22,1,A,R20,priach,priach,0300,NA,N,N,Y,157,
JZJ-C,C,12/09/22,1,A,R21,priach,priach,0300,NA,N,N,Y,157,
JZJ-C,C,12/09/22,1,B,158,priach,priach,0300,2.4,Y,Y,N,157,
JZJ-C,C,12/09/22,1,B,R22,priach,priach,0300,NA,N,N,Y,157,
JZJ-C,C,12/09/22,1,B,159,priach,priach,0300,2.5,Y,Y,N,156,
JZJ-C,C,12/09/22,1,B,160,priach,priach,0300,2.8,Y,Y,N,155,
JZJ-C,C,12/09/22,1,C,161,priach,priach,0300,2.2,Y,Y,N,160,
JZJ-C,C,12/09/22,1,C,R23,priach,priach,0300,NA,N,N,Y,157,1 escapo del 1D
JZJ-C,C,12/09/22,2,A,162,priach,priach,0300,1.7,Y,Y,N,157,
JZJ-C,C,12/09/22,2,A,R24,priach,priach,0300,NA,N,N,Y,156,
JZJ-C,C,12/09/22,2,B,163,priach,priach,0300,3.6,Y,Y,N,155,
JZJ-C,C,12/09/22,2,B,164,priach,priach,0300,3.3,Y,Y,N,155,
JZJ-C,C,12/09/22,2,C,165,priach,priach,0300,2.3,Y,Y,N,156,
JZJ-C,C,12/09/22,2,C,166,priach,priach,0300,3.9,Y,Y,N,166,
JZJ-C,C,12/09/22,3,A,167,priach,priach,0300,3.4,Y,Y,N,166,
JZJ-C,C,12/09/22,3,B,168,priach,priach,0300,2.6,Y,Y,N,168,
JZJ-C,C,12/09/22,3,B,169,priach,priach,0300,1.9,Y,Y,N,169,
JZJ-C,C,12/09/22,3,C,170,priach,priach,0300,3.3,Y,Y,N,170,en amplexus
JZJ-C,C,12/09/22,3,C,171,priach,priach,0300,2.7,Y,Y,N,156,en amplexus
JZJ-C,C,12/09/22,3,C,R25,priach,priach,0300,NA,N,N,Y,170,
JZJ-C,C,12/09/22,3,C,R26,priach,priach,0300,NA,N,N,Y,170,
