Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...20
LG-C,Aniseto-Caucho,C,04/03/23,4,C,1635,boapel,NA,boapel,boapel,0003,5,Y,Y,N,1624,NA,NA,NA
DB-N,Laguna,N,08/10/22,1,D,440,boapel,boapel,boapel,boapel,0040,5,Y,Y,N,440,NA,NA,NA
DB-C,Laguna,C,10/10/22,2,C,495,scitsa,scitsa,boapel,boapel,0030,3.8,Y,Y,N,486,NA,NA,NA
DB-N,Laguna,N,10/10/22,2,C,476,boapel,boapel,boapel,boapel,0040,5.3,Y,Y,N,476,NA,NA,NA
DB-N,Laguna,N,16/02/23,3,D,1479,boapel,NA,boapel,boapel,0040,4.3,Y,Y,N,R339,NA,NA,NA
DB-N,Laguna,N,14/02/23,1,C,1440,boapel,NA,boapel,boapel,0040,3.7,Y,Y,N,1440,NA,NA,NA
DB-C,Laguna,C,10/10/22,2,C,496,scitsa,scitsa,boapel,boapel,0030,2.3,Y,Y,N,486,NA,NA,NA
DB-C,Laguna,C,12/10/22,2,D,519,scitsa,scitsa,boapel,boapel,0030,2.5,Y,Y,N,R88,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,A,441,boapel,boapel,boapel,boapel,0040,4.7,Y,Y,N,441,NA,NA,NA
DB-C,Laguna,C,08/10/22,3,A,468,scitsa,scitsa,boapel,boapel,0030,2.7,Y,Y,N,439,NA,NA,NA
JS-N,Laguna,N,10/02/23,1,D,1399,boapel,NA,boapel,boapel,0002,3.5,Y,Y,N,1389,NA,NA,NA
DB-N,Laguna,N,08/10/22,1,C,437,boapel,boapel,boapel,boapel,0040,4.5,Y,Y,N,437,NA,NA,NA
DB-N,Laguna,N,08/10/22,4,B,461,scitsa,scitsa,boapel,boapel,0040,2.3,Y,Y,N,439,NA,NA,NA
FLL-C,Laguna,C,03/10/22,4,D,336,scitsa,scitsa,boapel,boapel,0003,2.6,Y,Y,N,boapel,NA,Scinax tsachila? - Es un juvenil de boapel - DFM,NA
JS-N,Laguna,N,08/02/23,4,C,1350,boapel,NA,boapel,boapel,0002,4,Y,Y,N,1350,NA,NA,NA
JS-N,Laguna,N,10/02/23,2,D,R319,epibou,NA,epibou,epibou,0002,NA,NA,N,N,1402,NA,NA,NA
DB-C,Laguna,C,16/02/23,2,C,1468,epibou,NA,epibou,epibou,0030,1.8,Y,Y,N,1459,NA,NA,NA
FLL-V,Laguna,V,05/10/22,3,A,379,epibou,epibou,epibou,epibou,0020,1.5,Y,Y,N,378,NA,NA,NA
JS-N,Laguna,N,03/10/22,3,B,341,epibou,epibou,epibou,epibou,0002,1.6,Y,Y,N,298,NA,NA,NA
DB-C,Laguna,C,14/02/23,2,A,1429,epibou,NA,epibou,epibou,0030,1.8,Y,Y,N,1428,NA,NA,NA
DG-B,Gavilanes,B,24/02/23,4,A,1597,epibou,NA,epibou,epibou,0005,2,Y,Y,N,1597,NA,NA,NA
FLL-B,Laguna,B,07/02/23,1,D,1326,epibou,NA,epibou,epibou,0005,1.3,Y,Y,N,1325,NA,NA,NA
DG-B,Gavilanes,B,06/11/22,1,C,523,epibou,epibou,epibou,epibou,0005,1.7,Y,Y,N,523,NA,NA,NA
JS-N,Laguna,N,08/02/23,4,C,1348,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
LL-N,Estacion,N,06/09/22,4,C,66,epibou,epibou,epibou,epibou,0002,1.6,Y,Y,N,66,NA,NA,NA
JS-N,Laguna,N,10/02/23,3,A,1406,epibou,NA,epibou,epibou,0002,1.8,Y,Y,N,1402,NA,NA,NA
DG-B,Gavilanes,B,08/11/22,1,D,634,epibou,epibou,epibou,epibou,0005,3.7,Y,Y,N,R101,NA,NA,NA
DG-B,Gavilanes,B,20/02/23,1,C,1496,epibou,NA,epibou,epibou,0005,1.6,Y,Y,N,1495,NA,NA,NA
DB-C,Laguna,C,14/02/23,3,A,1434,epibou,NA,epibou,epibou,0030,1.2,Y,Y,N,1428,NA,NA,NA
DB-C,Laguna,C,18/02/23,2,B,1486,epibou,NA,epibou,epibou,0030,1.5,Y,Y,N,1482,NA,NA,NA
JS-N,Laguna,N,07/10/22,3,A,430,epibou,epibou,epibou,epibou,0002,1.7,Y,Y,N,414,NA,NA,NA
JS-N,Laguna,N,12/02/23,3,B,1419,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,R330,NA,NA,NA
DG-V,Gavilanes,V,06/11/22,3,B,540,epibou,epibou,epibou,epibou,0020,1.6,Y,Y,N,523,NA,NA,NA
JS-N,Laguna,N,08/02/23,3,A,1341,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
JS-N,Laguna,N,08/02/23,4,C,1349,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
FLL-V,Laguna,V,07/10/22,3,B,420,epibou,epibou,epibou,epibou,0020,1.6,Y,Y,N,419,NA,NA,NA
DB-C,Laguna,C,14/02/23,1,B,1428,epibou,NA,epibou,epibou,0030,1.7,Y,Y,N,1428,NA,NA,NA
FLL-B,Laguna,B,09/02/23,1,A,1380,epibou,NA,epibou,epibou,0005,1.5,Y,Y,N,1380,NA,NA,NA
FCAT-B2,Estacion,B,10/09/22,1,A,137,epibou,epibou,epibou,epibou,0040,1.6,Y,Y,N,137,NA,NA,NA
FCAT-B1,Estacion,B,15/09/22,3,A,231,epibou,epibou,epibou,epibou,0500,1.9,Y,Y,N,231,NA,NA,NA
DG-B,Gavilanes,B,08/11/22,1,C,633,epibou,epibou,epibou,epibou,0005,1.5,Y,Y,N,617,NA,NA,NA
DG-V,Gavilanes,V,06/11/22,4,D,548,epibou,epibou,epibou,epibou,0020,1.6,Y,Y,N,523,NA,NA,NA
DG-B,Gavilanes,B,08/11/22,1,A,629,epibou,epibou,epibou,epibou,0005,1.6,Y,Y,N,617,NA,NA,NA
DB-C,Laguna,C,18/02/23,1,B,1484,epibou,NA,epibou,epibou,0030,1.5,Y,Y,N,1482,NA,NA,NA
DG-V,Gavilanes,V,06/11/22,3,C,543,epibou,epibou,epibou,epibou,0020,1.7,Y,Y,N,523,NA,NA,NA
